Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Laura Moodie (Scottish Green Party) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Lloyd Melville (Scottish National Party) - Angus South,,,x,,,,no evidence,,0,,No recorded activity on this area
Malcolm Offord (Reform UK) - West Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Mark Simpson (Reform UK) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Martyn Day (Scottish National Party) - Falkirk East and Linlithgow,,,x,,,,no evidence,,0,,No recorded activity on this area
Max Bannerman (Reform UK) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Michelle Campbell (Scottish National Party) - Renfrewshire North and Cardonald,,,x,,,,no evidence,,0,,No recorded activity on this area
Morven-May MacCallum (Scottish Liberal Democrats) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Patricia Gibson (Scottish National Party) - Cunninghame South,,,x,,,,no evidence,,0,,No recorded activity on this area
Pauline Stafford (Scottish National Party) - Bathgate,,,x,,,,no evidence,,0,,No recorded activity on this area
Q Manivannan (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no evidence,,0,,No recorded activity on this area
Sanne Dijkstra-Downie (Scottish Liberal Democrats) - Edinburgh Northern,,,x,,,,no evidence,,0,,No recorded activity on this area
Senga Beresford (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Simita Kumar (Scottish National Party) - Edinburgh South Western,,,x,,,,no evidence,,0,,No recorded activity on this area
Stephen Flynn (Scottish National Party) - Aberdeen Deeside and North Kincardine,,,x,,,,no evidence,,0,,No recorded activity on this area
Stephen Gethins (Scottish National Party) - Dundee City East,,,x,,,,no evidence,,0,,No recorded activity on this area
Steven Bonnar (Scottish National Party) - Uddingston and Bellshill,,,x,,,,no evidence,,0,,No recorded activity on this area
Thomas Kerr (Reform UK) - Glasgow,,,x,,,,no evidence,,0,,No recorded activity on this area
Victor Currie (Reform UK) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Yi-pei Chou Turvey (Scottish Liberal Democrats) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Zen Ghani (Scottish National Party) - Glasgow Cathcart and Pollok,,,x,,,,no evidence,,0,,No recorded activity on this area
Gillian Mackay (Scottish Green Party) - Central Scot and Lothians West,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",22,,"2026-03-25 SPOKE: Motion of Thanks ""I thank Liz Smith, Fiona Hyslop, Rona Mackay and Shona Robison for their support and kindn"" [activity, not direction] | 2024-11-12 SPOKE: Women’s Health Plan 2021 to 2024 ""I am a little embarrassed to say that, when preparing the “progress” section of this speec"" [activity, not direction] | 2024-11-12 SPOKE: Women’s Health Plan 2021 to 2024 ""Absolutely. It very much helps us all if we work collaboratively in the sphere of women’s "" [activity, not direction] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""I can say only that I am confident that it does not, that the Scottish Human Rights Commis"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] "
