Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Alexander Burnett (Scottish Conservative and Unionist Party) - Aberdeenshire West,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Angela Constance (Scottish National Party) - Almond Valley,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Ariane Burgess (Scottish Green Party) - Highlands and Islands,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed]
Ben Macpherson (Scottish National Party) - Edinburgh North Eastern and Leith,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Bob Doris (Scottish National Party) - Glasgow Kelvin and Maryhill,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Carol Mochan (Scottish Labour) - South Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Claire Baker (Scottish Labour) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Clare Adamson (Scottish National Party) - Motherwell and Wishaw,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Clare Haughey (Scottish National Party) - Rutherglen and Cambuslang,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Colin Beattie (Scottish National Party) - Midlothian North,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Collette Stevenson (Scottish National Party) - East Kilbride,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Craig Hoy (Scottish Conservative and Unionist Party) - Dumfriesshire,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Daniel Johnson (Scottish Labour) - Edinburgh Southern,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
David Torrance (Scottish National Party) - Kirkcaldy,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Finlay Carson (Scottish Conservative and Unionist Party) - Galloway and West Dumfries,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Fulton MacGregor (Scottish National Party) - Coatbridge and Chryston,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
George Adam (Scottish National Party) - Paisley,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Gillian Mackay (Scottish Green Party) - Central Scot and Lothians West,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed]
Gillian Martin (Scottish National Party) - Aberdeenshire East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Graham Simpson (Reform UK) - Central Scot and Lothians West,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Ivan McKee (Scottish National Party) - Glasgow Easterhouse and Springburn,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Jackie Baillie (Scottish Labour) - Dumbarton,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
Jamie Hepburn (Scottish National Party) - Cumbernauld and Kilsyth,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Jenni Minto (Scottish National Party) - Argyll and Bute,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Jenny Gilruth (Scottish National Party) - Mid Fife and Glenrothes,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Jim Fairlie (Scottish National Party) - Perthshire South and Kinross-shire,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Karen Adam (Scottish National Party) - Banffshire and Buchan Coast,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Katy Clark (Scottish Labour) - West Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Keith Brown (Scottish National Party) - Clackmannanshire and Dunblane,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Kenneth Gibson (No Party Affiliation) - Cunninghame North,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Liam Kerr (Scottish Conservative and Unionist Party) - North East Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Liam McArthur (Scottish Liberal Democrats) - Orkney Islands,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Maree Todd (Scottish National Party) - Highlands and Islands,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Marie McNair (Scottish National Party) - Clydebank and Milngavie,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Mark Griffin (Scottish Labour) - Central Scot and Lothians West,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
Meghan Gallacher (Scottish Conservative and Unionist Party) - Central Scot and Lothians West,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
Michael Marra (Scottish Labour) - North East Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
