Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Tim Eagle (Scottish Conservative and Unionist Party) - Highlands and Islands,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",6,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab] | 2024-04-17 MOTION CO-SIGNED S6M-12867.1: Business Programme [no meaning line -- not placed]"
Craig Hoy (Scottish Conservative and Unionist Party) - Dumfriesshire,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,"2024-06-18 VOTE NOT VOTED: S6M-13692.1 (Revision to Business Programme) [absence/abstention -- not placed] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Finlay Carson (Scottish Conservative and Unionist Party) - Galloway and West Dumfries,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Graham Simpson (Reform UK) - Central Scot and Lothians West,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Miles Briggs (Scottish Conservative and Unionist Party) - Edinburgh and Lothians East,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Monica Lennon (Scottish Labour) - Glasgow,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,2025-11-12 MOTION CO-SIGNED S6M-19675: Unacceptable Waiting Times for Accessing Gender Iden [no meaning line -- not placed] | 2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE NOT VOTED: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-05-08 VOTE NOT VOTED: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]
Pauline McNeill (Scottish Labour) - Glasgow,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Claire Baker (Scottish Labour) - Mid Scotland and Fife,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",4,,2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]
Daniel Johnson (Scottish Labour) - Edinburgh Southern,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",4,,2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-17 VOTE NOT VOTED: S6M-12867.1 (Business Programme) [absence/abstention -- not placed]
Katy Clark (Scottish Labour) - West Scotland,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",4,,2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]
