cut,state,recommendations,supported,refused,refusal_rate
under review,Kuwait,5,1,4,0.80
under review,Samoa,5,2,3,0.60
under review,Mozambique,5,0,5,1.00
under review,Singapore,5,1,4,0.80
under review,Oman,4,0,4,1.00
under review,Bahrain,4,1,3,0.75
under review,Philippines,4,1,3,0.75
under review,Cuba,4,2,2,0.50
under review,Syrian Arab Republic,3,0,3,1.00
under review,Sao Tome & Principe,3,2,1,0.33
under review,"Venezuela, Bolivarian Republic of",3,2,1,0.33
under review,Iceland,3,2,1,0.33
under review,Equatorial Guinea,3,2,1,0.33
under review,Palau,3,0,3,1.00
under review,Somalia,2,2,0,0.00
under review,Niger,2,1,1,0.50
under review,"Korea, Democratic People's Republic of",2,0,2,1.00
under review,Cambodia,2,2,0,0.00
under review,"Micronesia, Federated States of",2,1,1,0.50
under review,Nauru,2,2,0,0.00
under review,Papua New Guinea,2,0,2,1.00
under review,"Congo, Democratic Republic of the",1,0,1,1.00
under review,South Sudan,1,1,0,0.00
under review,Central African Republic,1,1,0,0.00
under review,Haiti,1,0,1,1.00
under review,Gabon,1,1,0,0.00
recommending,Iceland,128,59,69,0.54
recommending,France,110,54,56,0.51
recommending,Canada,102,53,49,0.48
recommending,Italy,93,58,35,0.38
recommending,Mexico,85,44,41,0.48
recommending,Australia,83,45,38,0.46
recommending,United States of America,83,29,54,0.65
recommending,Argentina,80,40,40,0.50
recommending,"Netherlands, Kingdom of the",79,35,44,0.56
recommending,Spain,76,29,47,0.62
recommending,Uruguay,67,34,33,0.49
recommending,Norway,58,28,30,0.52
recommending,Germany,55,27,28,0.51
recommending,Chile,51,25,26,0.51
recommending,Brazil,46,25,21,0.46
recommending,Ireland,44,23,21,0.48
recommending,Slovenia,41,16,25,0.61
recommending,Sweden,39,16,23,0.59
recommending,Austria,36,16,20,0.56
recommending,Israel,36,26,10,0.28
recommending,Belgium,33,18,15,0.45
recommending,United Kingdom of Great Britain and Northern Ireland,33,18,15,0.45
recommending,Czechia,30,12,18,0.60
recommending,Portugal,28,11,17,0.61
recommending,Malta,26,14,12,0.46
recommending,New Zealand,24,11,13,0.54
recommending,Denmark,22,11,11,0.50
recommending,Luxembourg,22,11,11,0.50
recommending,Holy See,21,13,8,0.38
recommending,"Iran, Islamic Republic of",21,16,5,0.24
recommending,Poland,20,17,3,0.15
recommending,Honduras,19,9,10,0.53
recommending,Slovakia,19,12,7,0.37
recommending,Switzerland,18,7,11,0.61
recommending,Finland,18,13,5,0.28
recommending,Greece,17,12,5,0.29
recommending,Costa Rica,17,12,5,0.29
recommending,Türkiye,15,10,5,0.33
recommending,Egypt,15,12,3,0.20
recommending,Estonia,15,8,7,0.47
recommending,Pakistan,15,12,3,0.20
recommending,Thailand,15,11,4,0.27
recommending,Malaysia,15,11,4,0.27
recommending,Namibia,15,13,2,0.13
recommending,"Venezuela, Bolivarian Republic of",14,13,1,0.07
recommending,Ecuador,14,11,3,0.21
recommending,Colombia,14,8,6,0.43
recommending,South Africa,12,6,6,0.50
recommending,Montenegro,11,8,3,0.27
recommending,Algeria,11,9,2,0.18
recommending,Libya,11,8,3,0.27
recommending,Sierra Leone,11,8,3,0.27
recommending,Ghana,11,6,5,0.45
recommending,Croatia,10,4,6,0.60
recommending,Indonesia,10,8,2,0.20
recommending,United Arab Emirates,10,10,0,0.00
recommending,Ukraine,9,9,0,0.00
recommending,Bangladesh,9,9,0,0.00
recommending,Bahrain,9,6,3,0.33
recommending,Myanmar,8,7,1,0.12
recommending,Afghanistan,8,6,2,0.25
recommending,Saudi Arabia,8,2,6,0.75
recommending,Russian Federation,8,3,5,0.62
recommending,Iraq,7,6,1,0.14
recommending,Maldives,7,7,0,0.00
recommending,Dominican Republic,7,1,6,0.86
recommending,Solomon Islands,6,4,2,0.33
recommending,Lithuania,6,2,4,0.67
recommending,Azerbaijan,6,6,0,0.00
recommending,Cyprus,6,5,1,0.17
recommending,Belarus,6,5,1,0.17
recommending,Peru,5,2,3,0.60
recommending,Panama,5,5,0,0.00
recommending,India,5,4,1,0.20
recommending,Tunisia,5,5,0,0.00
recommending,Haiti,5,3,2,0.40
recommending,Hungary,5,2,3,0.60
recommending,Armenia,5,5,0,0.00
recommending,"Korea, Republic of",5,4,1,0.20
recommending,Lebanon,5,4,1,0.20
recommending,Cape Verde,5,3,2,0.40
recommending,Nigeria,4,3,1,0.25
recommending,Syrian Arab Republic,4,3,1,0.25
recommending,Kyrgyzstan,4,4,0,0.00
recommending,Liechtenstein,4,1,3,0.75
recommending,Jordan,4,3,1,0.25
recommending,Sudan,4,3,1,0.25
recommending,"Palestine, State of",4,3,1,0.25
recommending,Bulgaria,4,4,0,0.00
recommending,Morocco,4,2,2,0.50
recommending,Romania,4,3,1,0.25
recommending,Kenya,4,1,3,0.75
recommending,Philippines,4,3,1,0.25
recommending,Rwanda,4,4,0,0.00
recommending,Albania,4,3,1,0.25
recommending,Latvia,4,3,1,0.25
recommending,Angola,3,2,1,0.33
recommending,Togo,3,2,1,0.33
recommending,Paraguay,3,1,2,0.67
recommending,Cote d'Ivoire,3,3,0,0.00
recommending,Cuba,3,3,0,0.00
recommending,Serbia,3,1,2,0.67
recommending,Japan,3,3,0,0.00
recommending,Botswana,3,3,0,0.00
recommending,Georgia,3,3,0,0.00
recommending,Timor-Leste,3,2,1,0.33
recommending,Fiji,2,1,1,0.50
recommending,Gambia,2,1,1,0.50
recommending,"Moldova, Republic of",2,2,0,0.00
recommending,Senegal,2,2,0,0.00
recommending,Kazakhstan,2,2,0,0.00
recommending,Cambodia,2,2,0,0.00
recommending,Chad,2,2,0,0.00
recommending,Viet Nam,2,2,0,0.00
recommending,Qatar,2,0,2,1.00
recommending,Uzbekistan,2,2,0,0.00
recommending,Zambia,2,1,1,0.50
recommending,Uganda,2,2,0,0.00
recommending,Eswatini,1,1,0,0.00
recommending,Benin,1,1,0,0.00
recommending,Tajikistan,1,1,0,0.00
recommending,Guatemala,1,1,0,0.00
recommending,Ethiopia,1,1,0,0.00
recommending,Nicaragua,1,1,0,0.00
recommending,"Korea, Democratic People's Republic of",1,0,1,1.00
recommending,Yemen,1,1,0,0.00
recommending,Cameroon,1,1,0,0.00
recommending,Guyana,1,1,0,0.00
recommending,Mozambique,1,1,0,0.00
recommending,Burundi,1,1,0,0.00
recommending,Burkina Faso,1,1,0,0.00
recommending,Jamaica,1,1,0,0.00
recommending,Bhutan,1,1,0,0.00
recommending,Mauritius,1,1,0,0.00
recommending,Bahamas,1,1,0,0.00
recommending,Oman,1,1,0,0.00
recommending,North Macedonia,1,1,0,0.00
