speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Torcuil Crichton,Lab,Na h-Eileanan an Iar,With us,,12:01:27,2026-09-04T11:01:27Z,2026-09-04T11:01:52Z,25,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3ABE7030-1904-49ED-8405-A246F6CAED42
Rebecca Smith,Con,South West Devon,Neutral or unclear,,12:02:14,2026-09-04T11:02:14Z,2026-09-04T11:06:36Z,262,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-0DB7656B-91F0-462B-9BDD-62971A488B52
Rebecca Smith,Con,South West Devon,Neutral or unclear,,12:07:33,2026-09-04T11:07:33Z,2026-09-04T11:07:47Z,14,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-0DB7656B-91F0-462B-9BDD-62971A488B52
Rebecca Smith,Con,South West Devon,Neutral or unclear,,12:07:47,2026-09-04T11:07:47Z,2026-09-04T11:09:56Z,129,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-0DB7656B-91F0-462B-9BDD-62971A488B52
Rebecca Smith,Con,South West Devon,Neutral or unclear,,11:09:41,2026-09-04T10:09:41Z,2026-09-04T10:14:23Z,282,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-0DB7656B-91F0-462B-9BDD-62971A488B52
Jess Brown-Fuller,LD,Chichester,Neutral or unclear,,12:20:00,2026-09-04T11:20:00Z,2026-09-04T11:24:24Z,264,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3466047A-9816-4DDD-8ACA-98D21DF2FD43
Jess Brown-Fuller,LD,Chichester,Neutral or unclear,,12:27:46,2026-09-04T11:27:46Z,2026-09-04T11:28:55Z,69,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3466047A-9816-4DDD-8ACA-98D21DF2FD43
Jess Brown-Fuller,LD,Chichester,Neutral or unclear,,12:28:55,2026-09-04T11:28:55Z,2026-09-04T11:29:26Z,31,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3466047A-9816-4DDD-8ACA-98D21DF2FD43
Jess Brown-Fuller,LD,Chichester,Neutral or unclear,,12:31:05,2026-09-04T11:31:05Z,2026-09-04T11:31:40Z,35,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3466047A-9816-4DDD-8ACA-98D21DF2FD43
Jess Brown-Fuller,LD,Chichester,Neutral or unclear,,12:33:53,2026-09-04T11:33:53Z,2026-09-04T11:34:05Z,12,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3466047A-9816-4DDD-8ACA-98D21DF2FD43
Jess Brown-Fuller,LD,Chichester,Neutral or unclear,,12:48:56,2026-09-04T11:48:56Z,2026-09-04T11:49:30Z,34,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3466047A-9816-4DDD-8ACA-98D21DF2FD43
David Reed,Con,Exmouth and Exeter East,Neutral or unclear,,12:20:00,2026-09-04T11:20:00Z,2026-09-04T11:20:53Z,53,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-2D107407-0CD6-4B57-9D2B-7A011EB5C869
Amanda Hack,Lab,North West Leicestershire,Neutral or unclear,,12:28:55,2026-09-04T11:28:55Z,2026-09-04T11:29:40Z,45,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3B2FC38F-29A5-4F48-823F-075A534D5009
Amanda Hack,Lab,North West Leicestershire,Neutral or unclear,,13:39:26,2026-09-04T12:39:26Z,2026-09-04T12:39:47Z,21,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3B2FC38F-29A5-4F48-823F-075A534D5009
Samantha Niblett,Lab,South Derbyshire,Neutral or unclear,,12:31:40,2026-09-04T11:31:40Z,2026-09-04T11:32:36Z,56,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-628F2D76-BD81-4ED7-A170-FA5CF1867E69
Laura Kyrke-Smith,Lab,Aylesbury,Neutral or unclear,,12:34:05,2026-09-04T11:34:05Z,2026-09-04T11:45:41Z,696,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-F2D6B209-92A1-4E91-A961-28444042A997
Laura Kyrke-Smith,Lab,Aylesbury,Neutral or unclear,,12:48:18,2026-09-04T11:48:18Z,2026-09-04T11:48:56Z,38,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-F2D6B209-92A1-4E91-A961-28444042A997
David Davis,Con,Goole and Pocklington,Neutral or unclear,,13:02:29,2026-09-04T12:02:29Z,2026-09-04T12:03:23Z,54,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-54E8AAE0-AE90-41B6-81D9-8B78E1451524
